Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_02_ET_OFF,11/10/2017,11:36:57.079,7.1411133,2.6982422,4.4296875
11_10_02_ET_OFF,11/10/2017,11:36:58.517,7.040039,2.9553223,4.54834
11_10_02_ET_OFF,11/10/2017,11:36:58.524,6.776367,3.1816406,4.6538086
11_10_02_ET_OFF,11/10/2017,11:36:58.534,6.8884277,3.1464844,4.6384277
11_10_02_ET_OFF,11/10/2017,11:36:58.537,6.5039063,3.8825684,4.634033
11_10_02_ET_OFF,11/10/2017,11:36:58.550,6.475342,4.102295,4.6867676
11_10_02_ET_OFF,11/10/2017,11:36:58.555,6.2907715,4.117676,4.7438965
11_10_02_ET_OFF,11/10/2017,11:36:58.563,6.0117188,4.392334,4.7856445
11_10_02_ET_OFF,11/10/2017,11:36:58.569,6.161133,4.3725586,4.790039
11_10_02_ET_OFF,11/10/2017,11:36:58.572,6.1765137,4.343994,4.7834473
11_10_02_ET_OFF,11/10/2017,11:36:58.579,6.031494,4.4560547,4.7834473
11_10_02_ET_OFF,11/10/2017,11:36:58.581,5.972168,4.491211,4.8273926
11_10_02_ET_OFF,11/10/2017,11:36:58.585,6.064453,4.311035,4.790039
11_10_02_ET_OFF,11/10/2017,11:36:58.694,5.9414063,4.508789,4.8779297
11_10_02_ET_OFF,11/10/2017,11:36:58.788,5.989746,4.3461914,4.8669434
11_10_02_ET_OFF,11/10/2017,11:36:58.951,5.980957,4.473633,4.8120117
11_10_02_ET_OFF,11/10/2017,11:36:59.044,6.1105957,4.526367,4.772461
11_10_02_ET_OFF,11/10/2017,11:36:59.211,6.062256,4.376953,4.8098145
11_10_02_ET_OFF,11/10/2017,11:36:59.295,6.172119,4.2297363,4.796631
11_10_02_ET_OFF,11/10/2017,11:36:59.470,6.286377,3.9968262,4.8603516
11_10_02_ET_OFF,11/10/2017,11:36:59.548,6.321533,4.012207,4.7856445
11_10_02_ET_OFF,11/10/2017,11:36:59.720,6.51709,3.91333,4.721924
11_10_02_ET_OFF,11/10/2017,11:36:59.812,6.508301,3.6716309,4.7768555
11_10_02_ET_OFF,11/10/2017,11:36:59.981,6.484131,3.722168,4.7834473
11_10_02_ET_OFF,11/10/2017,11:37:00.073,6.4050293,4.0737305,4.715332
11_10_02_ET_OFF,11/10/2017,11:37:00.242,6.343506,4.111084,4.831787
11_10_02_ET_OFF,11/10/2017,11:37:00.328,6.038086,4.3945313,4.8999023
11_10_02_ET_OFF,11/10/2017,11:37:00.433,6.071045,4.150635,4.8999023
11_10_02_ET_OFF,11/10/2017,11:37:00.602,6.194092,4.1638184,4.8515625
11_10_02_ET_OFF,11/10/2017,11:37:00.703,6.1171875,4.29126,4.873535
11_10_02_ET_OFF,11/10/2017,11:37:00.850,6.1523438,4.144043,4.85376
11_10_02_ET_OFF,11/10/2017,11:37:00.969,6.202881,4.1748047,4.8339844
11_10_02_ET_OFF,11/10/2017,11:37:01.101,6.2072754,4.0473633,4.882324
11_10_02_ET_OFF,11/10/2017,11:37:01.215,6.1984863,4.150635,4.85376
11_10_02_ET_OFF,11/10/2017,11:37:01.363,6.2644043,4.1989746,4.754883
11_10_02_ET_OFF,11/10/2017,11:37:01.465,6.418213,3.8320313,4.7834473
11_10_02_ET_OFF,11/10/2017,11:37:01.630,6.2841797,4.0473633,4.7856445
11_10_02_ET_OFF,11/10/2017,11:37:01.731,6.3171387,4.0319824,4.754883
11_10_02_ET_OFF,11/10/2017,11:37:01.891,6.310547,3.9924316,4.7922363
11_10_02_ET_OFF,11/10/2017,11:37:01.979,6.301758,4.209961,4.7197266
11_10_02_ET_OFF,11/10/2017,11:37:02.144,6.354492,4.095703,4.706543
11_10_02_ET_OFF,11/10/2017,11:37:02.249,6.279785,4.152832,4.680176
11_10_02_ET_OFF,11/10/2017,11:37:02.406,6.288574,4.251709,4.6933594
11_10_02_ET_OFF,11/10/2017,11:37:02.511,6.2160645,4.3154297,4.706543
11_10_02_ET_OFF,11/10/2017,11:37:02.679,6.020508,4.3286133,4.8361816
11_10_02_ET_OFF,11/10/2017,11:37:02.761,6.345703,4.2077637,4.664795
11_10_02_ET_OFF,11/10/2017,11:37:02.927,6.387451,4.1484375,4.640625
11_10_02_ET_OFF,11/10/2017,11:37:03.028,6.328125,4.1330566,4.6713867
11_10_02_ET_OFF,11/10/2017,11:37:03.186,6.2731934,4.2319336,4.6845703
11_10_02_ET_OFF,11/10/2017,11:37:03.292,6.262207,4.192383,4.6625977
11_10_02_ET_OFF,11/10/2017,11:37:03.391,6.288574,4.2209473,4.699951
11_10_02_ET_OFF,11/10/2017,11:37:03.535,6.312744,4.1901855,4.6516113
11_10_02_ET_OFF,11/10/2017,11:37:03.657,6.277588,4.2297363,4.6845703
11_10_02_ET_OFF,11/10/2017,11:37:03.809,6.328125,4.177002,4.647217
11_10_02_ET_OFF,11/10/2017,11:37:03.910,6.286377,4.1901855,4.673584
11_10_02_ET_OFF,11/10/2017,11:37:04.056,6.255615,4.152832,4.6955566
11_10_02_ET_OFF,11/10/2017,11:37:04.172,6.2819824,4.1550293,4.697754
11_10_02_ET_OFF,11/10/2017,11:37:04.316,6.310547,4.159424,4.680176
11_10_02_ET_OFF,11/10/2017,11:37:04.436,6.295166,4.2209473,4.7263184
11_10_02_ET_OFF,11/10/2017,11:37:04.578,6.2907715,4.135254,4.7373047
11_10_02_ET_OFF,11/10/2017,11:37:04.693,6.220459,4.24292,4.7504883
11_10_02_ET_OFF,11/10/2017,11:37:04.836,6.3171387,4.111084,4.7197266
11_10_02_ET_OFF,11/10/2017,11:37:04.936,6.3149414,4.1726074,4.6625977
11_10_02_ET_OFF,11/10/2017,11:37:05.097,6.3632813,4.060547,4.699951
11_10_02_ET_OFF,11/10/2017,11:37:05.201,6.3588867,4.060547,4.7373047
11_10_02_ET_OFF,11/10/2017,11:37:05.371,6.3830566,4.0825195,4.680176
11_10_02_ET_OFF,11/10/2017,11:37:05.448,6.354492,4.0979004,4.6933594
11_10_02_ET_OFF,11/10/2017,11:37:05.619,6.2841797,4.137451,4.724121
11_10_02_ET_OFF,11/10/2017,11:37:05.721,6.3149414,4.209961,4.7373047
11_10_02_ET_OFF,11/10/2017,11:37:05.879,6.343506,4.071533,4.697754
11_10_02_ET_OFF,11/10/2017,11:37:05.979,6.334717,4.185791,4.6691895
11_10_02_ET_OFF,11/10/2017,11:37:06.140,6.2973633,4.2077637,4.6691895
11_10_02_ET_OFF,11/10/2017,11:37:06.227,6.295166,4.1550293,4.715332
11_10_02_ET_OFF,11/10/2017,11:37:06.400,6.277588,4.2143555,4.682373
11_10_02_ET_OFF,11/10/2017,11:37:06.488,6.2512207,4.209961,4.7504883
11_10_02_ET_OFF,11/10/2017,11:37:06.612,6.1984863,4.2626953,4.7680664
11_10_02_ET_OFF,11/10/2017,11:37:06.759,6.303955,4.152832,4.713135
11_10_02_ET_OFF,11/10/2017,11:37:06.859,6.2819824,4.1813965,4.6757813
11_10_02_ET_OFF,11/10/2017,11:37:07.015,6.3479004,4.0803223,4.7175293
11_10_02_ET_OFF,11/10/2017,11:37:07.124,6.2995605,4.128662,4.713135
11_10_02_ET_OFF,11/10/2017,11:37:07.279,6.310547,4.159424,4.697754
11_10_02_ET_OFF,11/10/2017,11:37:07.379,6.312744,4.159424,4.682373
11_10_02_ET_OFF,11/10/2017,11:37:07.529,6.3259277,4.1242676,4.673584
11_10_02_ET_OFF,11/10/2017,11:37:07.639,6.3061523,4.227539,4.6845703
11_10_02_ET_OFF,11/10/2017,11:37:07.789,6.2753906,4.1726074,4.699951
11_10_02_ET_OFF,11/10/2017,11:37:07.891,6.286377,4.128662,4.697754
11_10_02_ET_OFF,11/10/2017,11:37:08.051,6.2731934,4.203369,4.688965
11_10_02_ET_OFF,11/10/2017,11:37:08.140,6.2182617,4.3308105,4.7351074
11_10_02_ET_OFF,11/10/2017,11:37:08.311,6.229248,4.1967773,4.7460938
11_10_02_ET_OFF,11/10/2017,11:37:08.403,6.2666016,4.179199,4.6867676
11_10_02_ET_OFF,11/10/2017,11:37:08.571,6.2819824,4.177002,4.699951
11_10_02_ET_OFF,11/10/2017,11:37:08.680,6.270996,4.1550293,4.6955566
11_10_02_ET_OFF,11/10/2017,11:37:08.832,6.2995605,4.152832,4.688965
11_10_02_ET_OFF,11/10/2017,11:37:08.919,6.319336,4.177002,4.7043457
11_10_02_ET_OFF,11/10/2017,11:37:09.050,6.3083496,4.1638184,4.6845703
11_10_02_ET_OFF,11/10/2017,11:37:09.194,6.3303223,4.17041,4.649414
11_10_02_ET_OFF,11/10/2017,11:37:09.346,6.343506,4.029785,4.721924
11_10_02_ET_OFF,11/10/2017,11:37:09.446,6.2973633,4.185791,4.691162
11_10_02_ET_OFF,11/10/2017,11:37:09.605,6.3171387,4.179199,4.680176
11_10_02_ET_OFF,11/10/2017,11:37:09.691,6.336914,4.1088867,4.6933594
11_10_02_ET_OFF,11/10/2017,11:37:09.815,6.336914,4.126465,4.7043457
11_10_02_ET_OFF,11/10/2017,11:37:09.952,6.352295,4.104492,4.6867676
11_10_02_ET_OFF,11/10/2017,11:37:10.066,6.336914,4.126465,4.6867676
11_10_02_ET_OFF,11/10/2017,11:37:10.230,6.321533,4.0583496,4.7526855
11_10_02_ET_OFF,11/10/2017,11:37:10.328,6.3413086,4.1066895,4.7043457
11_10_02_ET_OFF,11/10/2017,11:37:10.474,6.3654785,3.9924316,4.7197266
11_10_02_ET_OFF,11/10/2017,11:37:10.593,6.2929688,4.003418,4.7021484
11_10_02_ET_OFF,11/10/2017,11:37:10.734,6.2907715,3.9111328,4.847168
11_10_02_ET_OFF,11/10/2017,11:37:10.846,6.2644043,4.084717,4.807617
